 # File generated with MATLAB code by Hao

4095  atoms
1 atom types

0.000000 28.289083 xlo xhi
0.000000 28.289083 ylo yhi
0.000000 28.289083 zlo zhi

Masses

1 12.011000

Atoms

	1	1	0.000000	0.000000	0.000000
	2	1	0.000000	1.768068	1.768068
	3	1	1.768068	0.000000	1.768068
	4	1	1.768068	1.768068	0.000000
	5	1	0.000000	0.000000	3.536135
	6	1	0.000000	1.768068	5.304203
	7	1	1.768068	0.000000	5.304203
	8	1	1.768068	1.768068	3.536135
	9	1	0.000000	0.000000	7.072271
	10	1	0.000000	1.768068	8.840339
	11	1	1.768068	0.000000	8.840339
	12	1	1.768068	1.768068	7.072271
	13	1	0.000000	0.000000	10.608406
	14	1	0.000000	1.768068	12.376474
	15	1	1.768068	0.000000	12.376474
	16	1	1.768068	1.768068	10.608406
	17	1	0.000000	0.000000	14.144542
	18	1	0.000000	1.768068	15.912609
	19	1	1.768068	0.000000	15.912609
	20	1	1.768068	1.768068	14.144542
	21	1	0.000000	0.000000	17.680677
	22	1	0.000000	1.768068	19.448745
	23	1	1.768068	0.000000	19.448745
	24	1	1.768068	1.768068	17.680677
	25	1	0.000000	0.000000	21.216813
	26	1	0.000000	1.768068	22.984880
	27	1	1.768068	0.000000	22.984880
	28	1	1.768068	1.768068	21.216813
	29	1	0.000000	0.000000	24.752948
	30	1	0.000000	1.768068	26.521016
	31	1	1.768068	0.000000	26.521016
	32	1	1.768068	1.768068	24.752948
	33	1	0.000000	3.536135	0.000000
	34	1	0.000000	5.304203	1.768068
	35	1	1.768068	3.536135	1.768068
	36	1	1.768068	5.304203	0.000000
	37	1	0.000000	3.536135	3.536135
	38	1	0.000000	5.304203	5.304203
	39	1	1.768068	3.536135	5.304203
	40	1	1.768068	5.304203	3.536135
	41	1	0.000000	3.536135	7.072271
	42	1	0.000000	5.304203	8.840339
	43	1	1.768068	3.536135	8.840339
	44	1	1.768068	5.304203	7.072271
	45	1	0.000000	3.536135	10.608406
	46	1	0.000000	5.304203	12.376474
	47	1	1.768068	3.536135	12.376474
	48	1	1.768068	5.304203	10.608406
	49	1	0.000000	3.536135	14.144542
	50	1	0.000000	5.304203	15.912609
	51	1	1.768068	3.536135	15.912609
	52	1	1.768068	5.304203	14.144542
	53	1	0.000000	3.536135	17.680677
	54	1	0.000000	5.304203	19.448745
	55	1	1.768068	3.536135	19.448745
	56	1	1.768068	5.304203	17.680677
